"timestamp_pretty";"timestamp";"msgid";"targetType";"mmsi";"lat";"long";"posacc";"sog";"cog";"shipType";"dimBow";"draught";"dimPort";"dimStarboard";"dimStern";"month";"week";"imo";"country";"name";"callsign"
"01/04/2018 02:46:55";1522550815000;3;"A";205689000;59.173866;17.664516;1;0;341;"CARGO";76;4.9;6;6;6;4;13;9345362;"Belgium";"FAST HERMAN";"ONIO"
"01/04/2018 09:36:32";1522575392000;3;"A";205489000;55.097866;14.687683;1;0;348;"CARGO";61;4.4;5;6;14;4;13;8415184;"Belgium";"MARSCHENLAND";"ONES"
"01/04/2018 01:46:45";1522547205000;1;"A";205723000;55.240383;13.82716;1;9.2;272.4;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 10:08:52";1522577332000;3;"A";205689000;59.17388;17.664534;1;0;341;"CARGO";76;4.9;6;6;6;4;13;9345362;"Belgium";"FAST HERMAN";"ONIO"
"01/04/2018 00:48:45";1522543725000;1;"A";205723000;55.235584;14.080832;1;8.9;272.7;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 01:39:32";1522546772000;3;"A";205489000;55.097866;14.687567;1;0;329;"CARGO";61;4.4;5;6;14;4;13;8415184;"Belgium";"MARSCHENLAND";"ONES"
"01/04/2018 01:07:40";1522544860000;1;"A";205366000;54.33884;11.979796;1;16;302.5;"TANKER";108;6.2;15;6;34;4;13;9045807;"Belgium";"TEMSE";"ONCC"
"01/04/2018 05:46:43";1522561603000;1;"A";205723000;55.299446;12.747162;1;9.2;290.2;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 05:41:54";1522561314000;1;"A";205723000;55.295265;12.767397;1;9.2;289.6;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 04:06:25";1522555585000;1;"A";205723000;55.251083;13.188878;1;9.6;273;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 03:01:56";1522551716000;3;"A";205689000;59.1739;17.664566;1;0;341;"CARGO";76;4.9;6;6;6;4;13;9345362;"Belgium";"FAST HERMAN";"ONIO"
"01/04/2018 00:21:37";1522542097000;3;"A";205723000;55.232285;14.197168;1;8.5;273.9;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 08:58:44";1522573124000;1;"A";205723000;55.792294;12.725222;1;10.6;15;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 07:09:47";1522566587000;1;"A";205366000;54.512184;10.30683;1;0.7;242.3;"TANKER";108;6.2;15;6;34;4;13;9045807;"Belgium";"TEMSE";"ONCC"
"01/04/2018 10:54:31";1522580071000;3;"A";205489000;55.097916;14.687616;1;0;327;"CARGO";61;4.4;5;6;14;4;13;8415184;"Belgium";"MARSCHENLAND";"ONES"
"01/04/2018 01:27:54";1522546074000;3;"A";205689000;59.17385;17.6645;1;0;341;"CARGO";76;4.9;6;6;6;4;13;9345362;"Belgium";"FAST HERMAN";"ONIO"
"01/04/2018 02:33:32";1522550012000;3;"A";205489000;55.097816;14.6876;1;0;0;"CARGO";61;4.4;5;6;14;4;13;8415184;"Belgium";"MARSCHENLAND";"ONES"
"01/04/2018 02:54:03";1522551243000;1;"A";205723000;55.2442;13.521185;1;9.6;271.1;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 01:01:41";1522544501000;1;"A";205366000;54.324593;12.01711;1;15.7;302.8;"TANKER";108;6.2;15;6;34;4;13;9045807;"Belgium";"TEMSE";"ONCC"
"01/04/2018 08:10:19";1522570219000;1;"A";205366000;54.506443;10.292455;1;2.3;224.2;"TANKER";108;6.2;15;6;34;4;13;9045807;"Belgium";"TEMSE";"ONCC"
